% 1. Title: 
% 
% 2. Sources:
%      (a) Creator: A. P. B. Grezzana
%      (b) Donor: 
%      (c) Date: June, 2021
% 
% 3. Past Usage:
% 
% 4. Relevant Information:
% 
% 5. Number of Instances: 150 (50 in each of three classes)
% 
% 6. Number of Attributes: 19 attributes and 2 classes.
% 
% 7. Attribute Information:
%    1. 14 Haralick features
%    2. 5 NGTDM features
%    3. class: 
%       -- 0
%       -- 1
% 
% 8. Missing Attribute Values: None
% 
% Summary Statistics:
% 
% 9. Class Distribution: 

@RELATION iris

@ATTRIBUTE haralickEnergy	REAL
@ATTRIBUTE haralickContrast	REAL
@ATTRIBUTE haralickCorrelation	REAL
@ATTRIBUTE haralickVariance	REAL
@ATTRIBUTE haralickHomogeneity	REAL
@ATTRIBUTE haralickSumAverage	REAL
@ATTRIBUTE haralickSumVariance	REAL
@ATTRIBUTE haralickSumEntropy	REAL
@ATTRIBUTE haralickEntropy	REAL
@ATTRIBUTE haralickDifVariance	REAL
@ATTRIBUTE haralickDifEntropy	REAL
@ATTRIBUTE haralickIMC1	REAL
@ATTRIBUTE haralickIMC2	REAL
@ATTRIBUTE haralickMCC	REAL
@ATTRIBUTE ngtdmCoarsness 	REAL
@ATTRIBUTE ngtdmContrast 	REAL
@ATTRIBUTE ngtdmBusyness 	REAL
@ATTRIBUTE ngtdmComplexity 	REAL
@ATTRIBUTE ngtdmTextureStrength 	REAL
@ATTRIBUTE class 	{0,1}

@DATA
4.656464e-04,3.751560e+04,5.838435e-02,8.018546e+04,2.400973e-04,5.005614e+02,2.861096e+05,6.622458e+00,1.178672e+01,3.751498e+04,5.549050e+00,-5.780199e-01,9.999660e-01,9.995833e-01,2.654654e+02,8.308299e-02,1.722225e-07,1.011698e+04,4.465578e+06,0
4.169141e-04,3.793216e+04,6.824498e-02,6.840911e+04,5.139510e-04,4.606871e+02,2.493554e+05,6.586378e+00,1.223234e+01,3.793153e+04,5.661575e+00,-4.994510e-01,9.998550e-01,9.988341e-01,1.416875e+02,1.462707e-01,4.552490e-07,1.541701e+04,2.867336e+06,0
1.289441e-03,3.725624e+04,1.119195e-02,9.772221e+04,1.668405e-04,5.546588e+02,3.385670e+05,6.323308e+00,1.067381e+01,3.725561e+04,5.063754e+00,-5.134784e-01,9.996917e-01,9.958712e-01,1.240562e+02,3.709805e-02,2.362938e-07,8.631667e+03,2.214270e+06,0
5.266893e-04,3.734428e+04,3.758989e-02,9.041513e+04,1.842312e-04,5.321823e+02,3.165045e+05,6.543513e+00,1.170381e+01,3.734365e+04,5.244519e+00,-5.239245e-01,9.998772e-01,9.989442e-01,2.256382e+02,6.822052e-02,1.441639e-07,1.228146e+04,4.061567e+06,0
5.084116e-04,3.806468e+04,5.799999e-02,1.092200e+05,2.363577e-03,5.789948e+02,3.698973e+05,6.530921e+00,1.182573e+01,3.806405e+04,5.604363e+00,-5.304062e-01,9.999038e-01,9.995360e-01,2.264702e+02,1.081429e-01,1.483789e-07,1.091635e+04,4.380268e+06,0
7.304265e-04,3.750662e+04,4.154583e-02,9.777267e+04,2.154736e-04,5.518111e+02,3.379548e+05,6.480068e+00,1.148404e+01,3.750599e+04,5.323041e+00,-5.417597e-01,9.999024e-01,9.993508e-01,1.946436e+02,6.566461e-02,1.435776e-07,1.067808e+04,4.369435e+06,0
8.592671e-04,3.721170e+04,2.294411e-02,9.143736e+04,1.671020e-04,5.368722e+02,3.201990e+05,6.486804e+00,1.106635e+01,3.721108e+04,5.131065e+00,-5.534530e-01,9.998972e-01,9.991218e-01,2.096947e+02,4.396479e-02,1.652908e-07,7.436584e+03,3.338743e+06,0
5.897086e-04,3.726084e+04,3.060979e-02,8.653828e+04,1.702551e-04,5.216565e+02,3.050961e+05,6.387380e+00,1.144356e+01,3.726022e+04,5.234710e+00,-5.170527e-01,9.998302e-01,9.989140e-01,1.901719e+02,8.419617e-02,1.715300e-07,1.385998e+04,4.044687e+06,0
7.908866e-04,3.723973e+04,1.950527e-02,9.375808e+04,2.273419e-04,5.432145e+02,3.266688e+05,6.500497e+00,1.109839e+01,3.723911e+04,5.114949e+00,-5.298248e-01,9.998332e-01,9.986691e-01,1.365553e+02,6.145260e-02,2.462853e-07,9.513919e+03,2.442013e+06,0
8.467899e-04,3.751520e+04,5.090087e-02,9.316129e+04,2.106151e-04,5.384363e+02,3.244839e+05,6.432360e+00,1.125724e+01,3.751457e+04,5.199350e+00,-5.671928e-01,9.999340e-01,9.993368e-01,2.046660e+02,7.567253e-02,1.477690e-07,9.399306e+03,4.364476e+06,0
